Orthogroup,Tracheophyte,Bryophyte,Streptophyte_algae,Chlorophyte_algae,Cyanobacteria
OG0000752,1,1,1,1,0
OG0000753,1,1,1,1,1
OG0000754,1,1,1,1,0
OG0000755,1,1,1,0,0
OG0000758,1,1,1,1,1
OG0000759,1,1,0,0,0
OG0000761,1,1,1,1,1
OG0000762,1,1,1,1,1
OG0000763,1,1,1,1,0
OG0000764,1,0,0,1,0
OG0000766,1,1,1,1,0
OG0000768,1,1,1,0,0
OG0000770,1,1,1,1,0
OG0000772,1,1,1,1,0
OG0000773,1,1,1,1,0
OG0000775,1,1,1,1,0
OG0000778,1,1,1,0,0
OG0000782,1,1,1,1,1
OG0000786,1,1,1,1,1
OG0000787,1,1,1,1,0
OG0000790,1,1,1,1,1
OG0000793,1,1,1,1,0
OG0000794,1,1,1,1,1
OG0000795,1,1,1,1,0
OG0000797,1,1,1,0,0
OG0000798,1,1,1,1,0
OG0000803,1,1,1,0,0
OG0000805,1,1,1,1,1
OG0000806,1,1,0,1,0
OG0000813,1,1,1,1,0
OG0000814,1,1,1,1,0
OG0000825,1,0,0,0,0
OG0000826,1,1,1,1,0
OG0000830,1,0,0,0,0
OG0000835,1,1,1,1,0
OG0000836,1,1,1,1,0
OG0000838,1,1,1,0,0
OG0000840,1,1,1,1,0
OG0000842,1,1,1,0,0
OG0000845,1,1,1,1,0
OG0000848,1,1,0,0,0
OG0000852,1,1,0,0,0
OG0000859,1,1,1,1,0
OG0000861,1,1,1,1,0
OG0000865,1,1,1,1,0
OG0000867,1,1,1,1,1
OG0000868,1,1,1,1,1
OG0000871,1,1,1,1,0
OG0000876,1,1,1,1,0
OG0000879,1,1,0,0,0
OG0000880,1,0,0,0,0
OG0000883,1,1,1,1,0
OG0000884,1,1,1,1,0
OG0000885,1,1,1,0,1
OG0000886,1,1,1,1,1
OG0000889,1,1,1,1,0
OG0000890,1,1,1,1,0
OG0000892,1,1,1,1,0
OG0000895,1,1,1,1,0
OG0000898,1,1,1,1,0
OG0000902,1,0,0,0,0
OG0000906,1,1,1,1,0
OG0000907,1,1,1,1,0
OG0000909,1,1,1,1,0
OG0000910,1,1,1,0,0
OG0000911,1,1,1,1,0
OG0000912,1,1,1,1,0
OG0000918,1,1,1,0,0
OG0000924,1,1,1,1,0
OG0000926,1,1,1,1,0
OG0000927,1,1,1,1,1
OG0000928,1,1,1,1,0
OG0000930,1,1,1,0,0
OG0000932,1,0,1,1,0
OG0000933,1,1,1,1,0
OG0000935,1,1,0,0,0
OG0000938,1,1,1,0,0
OG0000939,1,1,1,1,1
OG0000947,1,1,1,1,0
OG0000948,1,1,1,1,0
OG0000949,1,0,0,0,0
OG0000957,1,1,1,0,0
OG0000962,1,1,1,1,0
OG0000963,1,1,1,1,0
OG0000964,1,1,1,0,0
OG0000971,1,1,1,1,0
OG0000972,1,0,0,0,0
OG0000975,1,1,1,1,1
OG0000976,1,1,1,0,0
OG0000977,1,1,1,1,0
OG0000983,1,1,1,1,1
OG0000984,1,1,1,1,0
OG0000985,1,1,1,1,0
OG0000987,1,1,1,1,0
OG0000989,1,1,1,1,1
OG0000990,1,1,1,0,0
OG0000991,1,1,1,1,0
OG0000992,1,1,1,1,0
OG0000998,1,1,1,1,0
OG0000999,1,1,1,1,0
OG0001001,1,1,1,1,1
OG0001003,1,1,1,1,0
OG0001004,1,1,1,1,0
OG0001005,1,1,1,1,1
OG0001006,1,1,1,1,0
OG0001010,1,1,1,1,0
OG0001011,1,1,1,1,0
OG0001012,1,1,1,1,0
OG0001014,1,1,1,1,0
OG0001015,1,1,1,1,1
OG0001018,1,1,1,1,1
OG0001024,1,1,1,1,0
OG0001026,1,1,1,1,0
OG0001028,1,1,1,1,0
OG0001038,1,1,1,1,1
OG0001040,1,1,1,0,0
OG0001044,1,1,0,1,0
OG0001046,1,1,1,1,1
OG0001047,1,1,1,1,0
OG0001050,1,1,1,1,1
OG0001051,1,1,1,1,0
OG0001054,1,1,1,1,0
OG0001055,1,1,1,1,1
OG0001056,1,1,0,0,0
OG0001059,1,1,1,1,0
OG0001062,1,1,1,1,1
OG0001064,1,1,1,1,1
OG0001065,1,1,1,0,0
OG0001067,1,1,1,1,0
OG0001068,1,1,1,0,0
OG0001069,1,1,1,0,0
OG0001071,1,1,1,0,0
OG0001072,1,1,1,1,1
OG0001073,1,1,0,0,0
OG0001076,1,1,1,1,0
OG0001077,1,1,1,1,0
OG0001078,1,1,1,1,0
OG0001079,1,1,1,1,0
OG0001086,1,1,1,1,0
OG0001088,1,1,1,1,0
OG0001089,1,1,1,1,1
OG0001090,1,1,1,1,0
OG0001093,1,1,1,1,0
OG0001094,1,1,1,1,0
OG0001095,1,1,1,1,0
OG0001096,1,1,1,1,0
OG0001097,1,1,1,0,0
OG0001098,1,0,0,0,0
OG0001099,1,1,1,1,1
OG0001101,1,1,1,1,1
OG0001103,1,1,1,1,0
OG0001104,1,0,1,0,0
OG0001109,1,0,0,0,0
OG0001111,1,1,1,1,1
OG0001112,1,1,1,1,0
OG0001113,1,1,1,1,0
OG0001118,1,1,1,1,0
OG0001121,1,1,1,1,0
OG0001123,1,1,1,1,0
OG0001125,1,1,1,1,1
OG0001128,1,1,1,1,0
OG0001129,1,1,1,1,0
OG0001131,1,1,1,0,0
OG0001133,1,1,1,1,0
OG0001134,1,1,1,1,1
OG0001140,1,1,1,1,0
OG0001141,1,1,1,1,0
OG0001143,1,1,1,1,0
OG0001145,1,1,1,1,0
OG0001147,1,1,1,1,0
OG0001151,1,1,1,0,0
OG0001152,1,1,1,1,0
OG0001154,1,1,1,0,0
OG0001155,1,1,1,0,0
OG0001157,1,1,1,0,1
OG0001158,1,1,1,1,0
OG0001163,1,1,1,1,1
OG0001165,1,1,1,1,1
OG0001166,1,1,1,1,0
OG0001167,1,1,1,1,1
